StateAbbr,LocationName,LocationID,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY
KY,Trimble,21223,8539,1178.382,1656.5659999999998,2254.296,1178.382,2356.764,3338.7490000000003
KY,Union,21225,12961,1697.891,2993.9910000000004,3551.314,1944.15,4043.8320000000003,5119.595
KY,Warren,21227,139843,20836.607,20556.921,36359.18,16781.16,33002.948000000004,49504.422000000006
KY,Washington,21229,12061,1640.296,2146.858,3099.677,1760.9060000000002,3365.019,4522.875
KY,Wayne,21231,19681,2282.996,4939.9310000000005,5569.723000000001,3581.942,7301.651,8325.063
KY,Webster,21233,12726,1718.01,2812.4460000000004,3512.376,1947.0780000000002,3932.334,4886.784
KY,Whitley,21235,36873,4867.236,7853.9490000000005,10730.043000000001,5088.474,10545.678,15044.184
KY,Wolfe,21237,6400,691.2,1945.6000000000001,1984.0,1292.8,2572.8,2886.4
KY,Woodford,21239,27062,3707.4939999999997,3382.75,6630.1900000000005,3490.998,6088.95,9634.072
LA,Acadia,22001,56744,9873.456,11689.264000000001,15774.832,8114.392000000001,18441.8,20881.792
LA,Allen,22003,22320,4240.8,4798.8,6249.6,3191.76,6941.52,9173.52
LA,Ascension,22005,130458,27657.096,21916.944,33658.164,15785.418000000001,32744.958000000002,48791.292
LA,Assumption,22007,20604,3276.0360000000005,4615.296,5707.307999999999,3440.868,7128.984,8468.244
LA,Avoyelles,22009,38751,6316.4130000000005,9338.991000000002,11431.545,6703.923000000001,14609.127000000002,17670.456000000002
LA,Beauregard,22011,36570,6984.87,7533.42,10568.73,4827.24,10349.31,13457.76
LA,Bienville,22013,12641,1681.2530000000002,3198.173,3387.788,2578.764,5018.477,5814.86
LA,Bossier,22015,129276,22881.852,23398.956000000002,34904.520000000004,17064.432,37231.488000000005,57657.096000000005
LA,Caddo,22017,229025,33895.7,44430.85,55424.05,39392.3,71226.77500000001,104435.40000000001
LA,Calcasieu,22019,202418,35018.314000000006,37852.166,58498.801999999996,30767.535999999996,60725.4,87039.74
LA,Caldwell,22021,9554,1605.0720000000001,2197.42,2636.9040000000005,1547.7479999999998,3248.36,3706.9519999999998
LA,Cameron,22023,4902,906.87,970.5960000000001,1446.09,705.888,1465.6979999999999,1950.9959999999999
LA,Catahoula,22025,8566,1439.0880000000002,1764.596,2278.556,1413.39,2809.648,3674.814
LA,Claiborne,22027,13744,1951.648,3738.368,3422.256,2954.96,5744.991999999999,6171.056
LA,Concordia,22029,18116,2717.4,4239.143999999999,5018.1320000000005,3278.9960000000005,6865.964,7518.14
LA,De Soto,22031,26853,4296.4800000000005,5316.894,6981.78,4377.039000000001,8512.401,10794.906
LA,East Baton Rouge,22033,450544,87405.536,68482.688,117591.98400000001,57669.632000000005,121646.88,163998.016
LA,East Carroll,22035,6990,1027.53,1950.21,1768.47,1474.89,2935.8,3557.91
LA,East Feliciana,22037,19135,3252.9500000000003,3731.3250000000003,4649.805,3023.33,5797.905,7787.945
LA,Evangeline,22039,31986,5149.746,8220.402,9275.94,5565.563999999999,12282.624,14681.573999999999
LA,Franklin,22041,19308,2954.1240000000003,4575.996,5367.624000000001,3417.5159999999996,7086.036000000001,8649.983999999999
LA,Grant,22043,22000,4004.0,5214.0,6270.0,3146.0,7524.000000000001,8602.0
LA,Iberia,22045,68327,11615.59,14895.286000000002,19199.887000000002,11273.955,23026.199000000004,29722.245
LA,Iberville,22047,29506,5016.02,6432.308000000001,7494.523999999999,4720.96,10120.557999999999,13484.242000000002
LA,Jackson,22049,14839,2329.723,3368.453,4021.369,2567.1470000000004,5297.523,5980.116999999999
LA,Jefferson,22051,425884,74955.584,73252.048,114136.91200000001,63882.6,129042.85200000001,169075.948
LA,Jefferson Davis,22053,32026,6084.9400000000005,6245.07,9191.462,4451.6140000000005,9864.008,13579.024
LA,LaSalle,22059,14729,2827.968,3107.8190000000004,4168.307,1929.499,4462.887000000001,5832.684
LA,Lafayette,22055,247866,48333.87,43376.55,68163.15,31974.714,66428.088,86753.1
LA,Lafourche,22057,95870,17544.21,20324.44,28377.52,13901.15,30582.53,41032.35999999999
LA,Lincoln,22061,48129,7748.769,8374.446,13957.41,6064.254,13909.280999999999,18337.149
LA,Livingston,22063,148425,29239.725000000002,27161.775,43191.675,17662.575,42449.55,55659.375
LA,Madison,22065,9478,1289.008,2407.412,2511.67,2018.814,3819.6339999999996,4483.094
LA,Morehouse,22067,24446,3593.5620000000004,5989.27,6527.081999999999,4669.186000000001,9607.278,10805.132
LA,Natchitoches,22069,36663,6012.732,7149.285,9935.673,5609.439,12098.79,15618.438
LA,Orleans,22071,369749,69512.812,63227.079000000005,93916.246,55092.60100000001,99832.23,140874.369
LA,Ouachita,22073,157702,25863.127999999997,29805.678,40371.712,22866.79,47941.407999999996,66077.138
LA,Plaquemines,22075,22516,3962.8160000000003,4525.716,5966.74,3174.756,6642.22,9028.916
